Reference;Specie;Infection;n_infection;n_tested_infection;Dissemination_among_infected;n_dissemination_among_infected;n_tested_dissemination_among_infected;Dissemination;n_dissemination;n_tested_dissemination;Transmission_among_infected;n_transmission_among_infected;n_tested_transmission_among_infected;Transmission;n_transmission;n_tested_transmission;Status_of_Mosquitoes_tested_for_transmission;dpe_infection;dpe_infection_cat;dpe_dissemination;dpe_dissemination_cat;dpe_transmission;dpe_transmission_cat;Temperature;Temperature_class;Blood_meal_titer(log10pfu/ml);blood_meal_titer2;blood_meal_titer_class;Viral_strain;Country;Generation;Generation_cat
Turell et al., 2014;Cx. pipiens;90;18;20;55.6;10;18;50;10;20;;;;;;;;14;2w;14;2w;;;26°C;>25°C;7.5;7.5;high;ZH501;USA;F>180;>F5
Turell et al., 2014;Cx. pipiens;50;8;16;25;2;8;12.5;2;16;;;;;;;;14;2w;14;2w;;;26°C;>25°C;7.5;7.5;high;ZH501;USA;F18;>F5
Turell et al., 2014;Cx. pipiens;78.6;11;14;54.5;6;11;42.9;6;14;;;;;;;;21 or 28;3_to_4w;21 or 28;3_to_4w;;;26°C;>25°C;7.5;7.5;high;ZH501;USA;F>180;>F5
Turell et al., 2014;Cx. pipiens;66.7;6;9;16.7;1;6;11.1;1;9;;;;;;;;21 or 28;3_to_4w;21 or 28;3_to_4w;;;26°C;>25°C;7.5;7.5;high;ZH501;USA;F18;>F5
Turell et al., 2014;Cx. pipiens;85;34;40;14.7;5;34;12.5;5;40;;;;;;;;7;1w;7;1w;;;26°C;>25°C;>9;>9;high;ZH501;USA;F>180;>F5
Turell et al., 2014;Cx. pipiens;75;6;8;0;0;6;0;0;8;;;;;;;;7;1w;7;1w;;;26°C;>25°C;>9;>9;high;ZH501;USA;F18;>F5
Turell et al., 2014;Cx. pipiens;90.7;39;43;25.6;10;39;23.3;10;43;;;;;;;;14;2w;14;2w;;;26°C;>25°C;>9;>9;high;ZH501;USA;F>180;>F5
Turell et al., 2014;Cx. pipiens;77.8;7;9;42.9;3;7;33.3;3;9;;;;;;;;14;2w;14;2w;;;26°C;>25°C;>9;>9;high;ZH501;USA;F18;>F5
Turell et al., 2014;Cx. pipiens;82;41;50;36.6;15;41;30;15;50;;;;;;;;21 or 28;3_to_4w;21 or 28;3_to_4w;;;26°C;>25°C;>9;>9;high;ZH501;USA;F>180;>F5
Patrican et al., 1989;Cx. pipiens;83.1;123;148;21.1;26;123;17.6;26;148;;;;;;;;7;1w;7;1w;;;25-27°C;>25°C;5.5 log10 PFU ingested;8;high;ZH501;Egypt;F97-110;>F5
Patrican et al., 1989;Cx. pipiens;63.6;7;11;85.7;6;7;54.5;6;11;;;;;;;;7;1w;7;1w;;;25-27°C;>25°C;5.5 log10 PFU ingested;8.2;high;ZH501;Egypt;F97-110;>F5
Gad et al., 1989;Cx. pipiens;85;17;20;;;;;;;35.3;6;17;30;6;20;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;9.4 log10 SMICLD50/mL;9.4 log10 SMICLD50/mL;high;ZH501;Egypt;F0;F0/F1
Gad et al., 1989;Cx. pipiens;90;27;30;;;;;;;18.5;5;27;16.7;5;30;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;10.4 log10 SMICLD50/mL;10.4 log10 SMICLD50/mL;high;ZH501;Egypt;F0;F0/F1
Gad et al., 1989;Cx. pipiens;94.4;17;18;;;;;;;5.9;1;17;5.6;1;18;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;9.6 log10 SMICLD50/mL;9.6 log10 SMICLD50/mL;high;ZH501;Egypt;F0;F0/F1
Gad et al., 1989;Cx. pipiens;87.5;14;16;;;;;;;7.1;1;14;6.3;1;16;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;9.8 log10 SMICLD50/mL;9.8 log10 SMICLD50/mL;high;ZH501;Egypt;F0;F0/F1
Gad et al., 1989;Cx. pipiens;100;13;13;;;;;;;23.1;3;13;23.1;3;13;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;10.5 log10 SMICLD50/mL;10.5 log10 SMICLD50/mL;high;ZH501;Egypt;F0;F0/F1
Gad et al., 1989;Cx. pipiens;100;4;4;;;;;;;0;0;4;0;0;4;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;9.7 log10 SMICLD50/mL;9.7 log10 SMICLD50/mL;high;ZH501;Egypt;F0;F0/F1
Gad et al., 1989;Cx. pipiens;88.5;23;26;;;;;;;8.7;2;23;7.7;2;26;infected;9 -> 21;2_to_3w;;;;;25-29°C;>25°C;9.5 log10 SMICLD50/mL;9.5 log10 SMICLD50/mL;high;ZH501;Egypt;F1;F0/F1
Romoser et al., 1992;Cx. pipiens;81.8;112;137;45.5;51;112;37.2;51;137;;;;;;;;2-> 21;1_to_3w;2-> 21;1_to_3w;;;26°C;>25°C;6.9 log10 PFU ingested;9.4;high;ZH501;Egypt;NA;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;25;2;8;;;;inoculated;;;;;1;1w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;8;8;;;;inoculated;;;;;2;1w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;4;4;;;;inoculated;;;;;3;1w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;24;24;;;;inoculated;;;;;4;1w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;40;40;;;;inoculated;;;;;6 -> 13;1_to_2w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;8;8;;;;inoculated;;;;;14 -> 20;3w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;9;9;;;;inoculated;;;;;21 -> 27;4w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Turell et al., 1987;Cx. pipiens;;;;;;;;;;100;7;7;;;;inoculated;;;;;>28;>4w;26°C;>25°C;2 log10 PFU;2 log10 PFU;NA;ZH501, Dak ArB  1976;Egypt;F44-72;>F5
Faran et al., 1987;Cx. pipiens;;;;;;;56.6;47;83;89.4;42;47;50.6;42;83;disseminated;;;8 -> 9;2w;8 -> 9;2w;26°C;>25°C;5.6 to 6.9 log10 pfu ingested;8.1 to 9.4;high;ZH501;Egypt;F51-F75;>F5
